,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,country_of_bean_origin_latitude,country_of_bean_origin_longitude
70,363,Amano,U.S.A,2009,Venezuela,Montanya,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,hot spice,roasty,,,7.6653886,-66.14542
71,470,Amano,U.S.A,2010,Ecuador,Guayas,70.0,4.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,strong spice,intense pepper,,,-1.4215289,-78.87104
72,470,Amano,U.S.A,2010,Dominican Republic,Dos Rios,70.0,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,orange,cinamon,,,19.019825,-70.792854
73,544,Amano,U.S.A,2010,Venezuela,Chuao,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,woody,red berry,sour,,7.6653886,-66.14542
74,725,Amano,U.S.A,2011,Papua New Guinea,Morobe,70.0,4.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,tart,lemon,smoke,,-6.39563,146.10957
75,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,dry,chalky,fudge-like,,7.9213305,-1.2043862
76,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,oddly sweet,marshmallow,,7.9213305,-1.2043862
77,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,waxy mouthfeel,spicy,,,-1.4215289,-78.87104
78,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fatty,mushroom,off notes,,-1.4215289,-78.87104
79,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,vegetal,nutty,cocoa,-9.803302,-75.22187
80,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,vanilla,melon,cocoa,-9.803302,-75.22187
81,1498,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich,sour,mild smoke,,-9.803302,-75.22187
82,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fruity,sour,,,-19.272394,46.698433
83,1498,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,75.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,high roast,high astringnet,,,19.019825,-70.792854
84,1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smokey,savory,,,-6.39563,146.10957
85,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,roasty,nutty,,7.6653886,-66.14542
86,1494,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,brownie,nutty,,17.225292,-88.66974
87,123,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,fruit,cocoa,,7.6653886,-66.14542
88,129,Amedei,Italy,2007,Trinidad and Tobago,Trinidad,70.0,3.5,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,coffee,fruit,woodsy,,10.68574,-61.164062
89,123,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,earthy,vegetal,,-1.4215289,-78.87104
90,123,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,woody,spicy,,18.143444,-77.34655
91,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,raspberry,nutty,,-9.803302,-75.22187
92,2088,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vanilla,mint,roasty,,-19.272394,46.698433
93,2088,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vanilla,nuts,roasty,,7.6653886,-66.14542
94,2092,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,have_bean,have_cocoa_butter,have_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,nutty,mild roasty,vanilla,,7.6653886,-66.14542
95,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,sweet,cocoa,banana,-10.8104515,-52.973118
